"用户id","年龄","性别","门店id","评分","人均价格","是否点击"
"554","24","M","257","2","156","1"
"554","30","F","109","2","98","0"
"554","42","M","453","4","147","1"
"554","29","F","288","2","136","0"
"554","42","F","390","0","249","0"
"554","32","M","148","3","176","1"
"554","57","F","278","0","242","1"
"554","76","M","180","2","230","1"
"554","25","M","413","1","141","0"
"554","56","F","184","3","164","1"
"554","55","M","226","3","119","0"
"554","10","F","106","2","153","0"
"554","73","F","150","3","80","0"
"556","55","M","336","3","76","1"
"556","38","F","342","0","104","0"
"556","76","F","307","4","114","0"
"556","36","M","204","2","144","0"
"556","70","M","491","3","55","0"
"556","41","F","285","4","241","1"
"556","63","F","198","1","78","0"
"557","64","F","159","3","245","0"
"557","78","F","271","0","137","1"
"557","26","F","472","2","135","1"
"557","76","M","186","4","55","1"
"557","19","M","442","3","132","1"
"557","65","M","487","3","191","0"
"557","34","F","274","2","127","1"
"557","66","M","257","1","241","0"
"557","15","F","195","1","234","0"
"557","78","M","182","2","156","1"
"557","62","F","447","4","175","0"
"557","50","F","469","4","185","1"
"557","58","M","287","0","222","0"
"557","19","F","356","0","81","0"
"557","44","M","351","4","129","1"
"557","64","M","208","0","136","0"
"557","25","M","185","4","83","0"
"557","28","F","225","2","140","1"
"558","52","F","399","4","239","1"
"558","54","F","419","1","109","1"
"558","61","F","303","2","113","1"
"558","60","M","394","0","177","0"
"558","67","M","472","3","143","1"
"558","19","M","125","2","105","1"
"558","76","F","422","1","87","1"
"558","58","F","353","0","188","1"
"558","58","M","346","3","59","1"
"558","41","F","337","0","61","1"
"558","75","F","102","0","103","0"
"558","36","M","210","1","192","1"
"558","24","M","200","1","141","0"
"558","60","M","197","1","159","0"
"558","48","F","365","3","181","0"
"559","59","F","209","3","168","1"
"559","47","M","121","4","246","0"
"559","36","M","146","3","146","1"
"559","68","M","491","3","245","1"
"559","44","F","238","2","146","1"
"559","60","M","310","4","170","1"
"559","73","F","337","4","124","1"
"559","66","F","211","3","232","0"
"559","20","M","149","2","124","1"
"559","66","F","234","4","226","0"
"559","65","M","495","2","50","1"
"559","58","F","124","2","98","0"
"559","66","M","326","2","120","0"
"560","57","M","441","4","180","1"
"560","15","M","265","2","206","0"
"560","68","F","142","1","75","0"
"560","52","F","101","3","50","1"
"560","64","M","464","4","234","0"
"560","71","M","113","4","225","1"
"560","23","M","237","0","111","1"
"560","55","F","371","2","129","1"
"560","44","F","470","3","126","0"
"560","25","F","182","0","100","1"
"560","53","M","450","0","69","0"
"560","22","M","414","4","178","0"
"560","42","F","463","0","78","1"
"560","17","M","112","1","146","1"
"561","64","M","431","0","208","1"
"561","53","F","178","1","224","0"
"561","39","M","186","0","178","1"
"561","16","M","227","4","152","1"
"561","55","F","330","3","53","0"
"561","54","M","330","1","225","0"
"561","33","M","261","0","135","0"
"561","51","F","139","3","197","1"
"561","78","M","431","4","98","1"
"561","50","F","209","2","155","1"
"561","65","M","252","4","214","1"
"561","13","F","383","1","189","1"
"561","46","M","404","1","182","1"
"561","64","M","296","3","229","0"
"561","20","M","290","4","102","0"
"561","76","F","199","2","247","0"
"561","24","M","392","0","115","0"
"561","27","M","108","0","224","1"
"562","71","M","301","0","107","0"
"562","21","F","498","4","135","0"
"562","75","M","175","4","100","1"
"562","53","M","254","4","245","1"
"562","31","F","138","2","177","0"
"562","39","M","403","4","223","0"
"563","32","F","462","1","164","1"
"563","67","F","382","0","208","0"
"563","46","M","403","0","112","1"
"563","35","M","330","1","127","0"
"563","58","M","455","1","237","1"
"563","51","M","195","4","66","0"
"563","51","M","250","0","117","1"
"563","17","F","405","4","117","0"
"563","26","M","402","4","121","1"
"563","73","M","410","2","142","1"
"563","44","F","496","3","179","0"
"563","23","F","132","4","174","0"
"563","40","M","301","3","112","0"
"564","31","M","499","1","218","0"
"564","43","M","409","1","236","0"
"564","35","M","317","4","202","0"
"564","16","M","246","4","63","0"
"564","26","F","294","4","102","1"
"564","71","M","308","4","248","0"
"566","65","M","405","2","55","1"
"566","29","M","202","1","81","1"
"566","37","F","403","3","218","0"
"566","12","M","285","3","193","1"
"566","78","M","354","3","69","0"
"566","53","F","132","1","197","0"
"566","69","M","310","0","120","1"
"566","22","F","125","4","71","1"
"566","25","F","445","3","239","1"
"566","49","F","409","2","131","0"
"566","27","F","140","4","96","1"
"566","27","M","337","3","126","0"
"566","29","F","456","0","146","0"
"566","62","M","148","0","155","1"
"566","70","F","315","1","75","0"
"568","75","F","151","4","138","0"
"568","62","M","445","3","206","1"
"568","75","F","422","1","228","0"
"568","37","M","238","1","145","1"
"568","19","F","335","2","204","1"
"568","55","M","450","4","74","1"
"568","39","F","117","0","93","1"
"568","67","M","416","0","212","0"
"568","61","F","185","3","196","0"
"568","25","M","337","3","117","0"
"568","51","M","160","4","220","0"
"568","19","M","328","1","198","1"
"568","29","F","400","3","67","1"
"568","19","F","171","1","207","0"
"568","63","F","164","1","128","0"
"569","14","M","290","3","238","1"
"569","68","F","272","3","67","0"
"569","29","M","425","1","79","0"
"569","20","F","372","0","205","0"
"569","14","M","271","3","238","1"
"569","50","F","392","2","205","0"
"569","71","F","245","2","102","0"
"569","60","F","372","2","148","1"
"569","38","M","276","2","209","0"
"569","41","F","144","0","214","0"
"569","35","F","231","2","162","1"
"570","30","M","244","4","171","1"
"570","56","M","497","0","241","0"
"570","77","F","226","1","95","1"
"570","65","F","306","4","70","0"
"570","22","M","131","0","192","1"
"570","57","F","400","0","54","0"
"570","17","M","257","4","104","0"
"570","79","M","152","4","109","0"
"570","61","F","464","3","53","0"
"570","19","M","434","1","137","1"
"570","29","M","376","2","215","0"
"570","51","F","435","0","125","0"
"570","48","F","352","3","72","1"
"570","77","M","302","4","150","1"
"570","71","M","166","4","178","1"
"570","26","M","330","3","105","0"
"570","68","F","491","1","162","1"
"570","17","F","479","0","57","0"
"571","14","F","258","2","182","1"
"571","45","M","451","2","239","0"
"571","54","M","142","1","114","1"
"571","31","F","474","2","192","0"
"571","56","F","368","0","188","1"
"571","33","F","397","1","233","0"
"572","53","M","320","3","213","1"
"572","18","F","311","0","183","0"
"572","57","M","489","3","231","1"
"572","77","F","214","2","137","0"
"572","79","F","447","3","244","0"
"572","25","M","138","2","202","1"
"572","70","M","280","1","164","1"
"572","70","M","479","0","116","1"
"574","54","F","362","4","105","0"
"574","17","F","368","0","179","0"
"574","62","F","296","4","54","1"
"574","11","M","275","1","207","1"
"574","21","F","418","1","207","1"
"574","44","M","181","2","84","0"
"574","45","F","130","3","52","0"
"574","58","M","370","4","55","0"
"574","67","M","416","3","109","1"
"574","19","F","176","0","135","1"
"574","13","M","165","4","50","1"
"574","57","M","484","1","227","0"
"574","76","F","384","3","183","1"
"574","38","F","471","0","153","0"
"574","44","M","278","3","56","1"
"574","75","F","259","0","173","0"
"574","31","F","308","3","105","0"
"574","28","F","280","3","70","0"
"576","19","M","204","0","179","0"
"576","59","F","431","2","119","0"
"576","73","M","462","2","200","0"
"576","15","M","160","2","183","0"
"576","28","M","235","1","70","1"
"576","25","F","404","2","65","0"
"578","10","F","496","0","126","1"
"578","42","F","434","3","119","0"
"578","40","M","331","1","155","1"
"578","55","F","379","0","191","1"
"578","35","M","195","4","217","1"
"578","79","F","337","0","100","1"
"578","11","F","125","4","244","0"
"580","31","F","408","4","136","1"
"580","42","M","239","4","185","1"
"580","63","M","338","2","226","1"
"580","58","F","270","0","64","1"
"580","20","M","165","0","218","1"
"580","54","F","175","3","92","1"
"580","10","F","234","4","89","0"
"580","27","M","444","2","92","0"
"580","77","F","333","1","194","1"
"580","58","M","155","4","192","0"
"580","18","F","240","3","87","0"
"582","21","F","346","2","56","0"
"582","54","F","173","4","95","0"
"582","59","M","120","2","76","1"
"582","40","F","365","2","121","0"
"582","32","F","483","0","195","1"
"582","61","M","208","0","159","1"
"582","13","M","210","2","163","1"
"582","14","M","408","2","163","1"
"582","37","M","406","3","228","1"
"582","58","F","355","3","50","1"
"582","39","F","419","2","237","0"
"582","18","M","425","1","200","1"
"582","66","F","223","3","109","1"
"582","69","M","421","2","187","0"
"583","24","F","230","3","76","0"
"583","47","M","131","3","92","1"
"583","19","M","274","0","197","1"
"583","30","F","277","2","102","0"
"583","11","F","326","2","144","0"
"583","46","M","446","1","158","0"
"583","26","M","109","2","122","1"
"583","38","M","299","0","171","0"
"583","14","F","391","2","239","1"
"583","19","F","252","2","217","1"
"584","43","M","490","4","81","0"
"584","52","M","390","4","154","1"
"584","77","F","391","4","164","0"
"584","31","M","250","2","130","1"
"584","47","F","403","0","68","0"
"584","40","M","423","3","127","0"
"584","48","F","139","4","170","0"
"584","76","M","325","3","165","0"
"584","14","M","139","3","135","0"
"585","71","M","465","4","78","0"
"585","70","F","192","0","69","1"
"585","40","F","474","2","225","0"
"585","49","F","154","0","142","1"
"585","58","M","425","4","249","1"
"585","39","F","402","1","197","0"
"585","28","F","105","0","203","1"
"585","73","M","401","1","142","1"
"585","75","F","356","1","204","1"
"585","25","M","294","4","151","1"
"585","72","M","378","0","175","1"
"585","30","F","433","0","150","1"
"586","63","M","170","2","58","1"
"586","43","M","226","1","122","0"
"586","26","M","231","2","241","1"
"586","31","F","256","2","169","1"
"586","42","F","373","1","121","1"
"586","62","F","318","4","83","0"
"586","65","F","290","3","50","1"
"586","33","M","381","2","115","1"
"586","47","M","272","1","249","1"
"586","30","M","362","1","166","1"
"586","20","M","161","3","110","0"
"586","17","M","372","2","181","1"
"586","36","F","401","1","163","1"
"586","77","M","251","3","201","0"
"586","42","M","429","3","211","0"
"586","41","F","420","1","95","0"
"586","56","F","385","2","213","0"
"588","62","M","127","2","214","0"
"588","78","M","253","0","205","1"
"588","67","F","108","4","57","0"
"588","74","M","381","1","130","0"
"588","42","M","276","2","220","0"
"588","54","M","194","1","110","0"
"588","41","M","142","3","189","1"
"588","36","F","323","0","64","1"
"588","60","F","474","3","218","0"
"588","57","M","440","3","98","1"
"588","50","M","134","4","133","1"
"588","38","M","121","2","121","1"
"589","51","F","296","1","50","0"
"589","79","F","464","3","135","0"
"589","26","M","141","3","188","1"
"589","22","F","494","0","75","0"
"589","17","F","225","0","149","1"
"589","32","M","226","1","210","0"
"589","73","F","267","2","235","0"
"589","79","F","200","1","228","0"
"589","46","F","429","0","64","1"
"589","65","M","345","0","204","1"
"589","28","F","298","1","66","1"
"589","47","M","110","2","174","1"
"589","19","F","338","2","194","1"
"589","72","M","320","4","60","0"
"589","35","F","475","1","112","0"
"589","28","F","494","4","73","1"
"589","65","F","109","4","121","1"
"589","49","F","378","2","215","1"
"589","33","M","475","3","137","0"
"591","49","F","409","2","199","0"
"591","27","F","148","1","153","1"
"591","48","M","318","1","212","0"
"591","30","F","103","2","219","1"
"591","42","M","167","3","137","0"
"591","75","M","134","3","55","0"
"591","36","M","261","1","51","0"
"591","63","M","495","3","181","1"
"591","36","M","485","1","239","0"
"591","20","M","144","2","103","1"
"591","32","F","251","3","212","1"
"591","23","F","446","2","245","0"
"591","13","M","282","1","110","0"
"591","74","F","383","0","104","1"
"591","12","M","225","2","92","0"
"594","26","M","348","1","115","0"
"594","79","F","130","4","210","0"
"594","15","M","228","2","169","0"
"594","16","M","249","2","114","1"
"594","16","M","304","0","207","1"
"594","20","F","415","4","116","1"
"594","72","M","320","0","114","1"
"594","46","F","359","0","201","0"
"595","64","F","154","3","91","1"
"595","38","M","458","4","149","1"
"595","77","M","446","2","233","1"
"595","15","F","336","3","231","1"
"595","64","F","434","4","118","1"
"595","36","M","133","0","177","1"
"595","57","F","366","4","239","1"
"595","49","M","328","3","115","1"
"595","48","M","109","4","127","1"
"595","76","F","250","2","96","1"
"595","11","F","429","0","110","1"
"595","11","M","418","1","68","1"
"595","50","F","370","4","194","0"
"595","23","M","138","4","134","0"
"595","64","M","375","2","145","1"
"595","32","M","169","1","53","1"
"595","29","F","274","1","249","0"
"595","27","M","414","4","172","0"
"596","69","F","255","1","192","1"
"596","53","M","334","3","213","0"
"596","72","M","183","4","137","0"
"596","39","F","366","3","198","0"
"596","17","M","317","1","142","0"
"596","31","M","481","1","51","1"
"597","49","F","188","1","56","0"
"597","29","F","123","1","227","1"
"597","27","M","346","4","169","0"
"597","47","F","345","3","135","1"
"597","65","F","395","3","144","1"
"597","51","M","294","0","164","0"
"599","79","F","284","3","205","0"
"599","22","F","490","2","180","0"
"599","27","F","256","1","59","1"
"599","49","F","238","0","132","0"
"599","36","M","166","3","229","0"
"599","54","F","276","3","179","1"
"599","72","M","273","1","227","0"
"599","79","M","406","1","54","0"
"599","78","M","214","4","199","0"
"599","10","F","319","0","242","0"
"599","15","M","172","4","156","1"
"599","20","F","143","3","85","1"
"599","68","F","242","0","122","1"
"599","72","M","139","0","154","0"
"599","78","F","236","2","224","1"
"599","75","M","484","0","182","0"
"599","50","F","204","0","119","1"
"599","70","M","162","0","79","0"
"601","63","F","172","1","238","0"
"601","34","F","303","0","153","0"
"601","39","F","439","2","168","0"
"601","52","F","434","0","73","0"
"601","66","F","377","4","183","0"
"601","42","F","432","3","53","0"
"601","12","F","137","4","233","0"
"601","21","M","467","1","175","1"
"601","23","M","101","4","87","0"
"601","56","F","159","1","73","0"
"601","41","M","222","3","202","1"
"601","66","M","382","3","140","0"
"601","67","M","324","4","124","1"
"601","46","M","341","4","152","1"
"601","65","F","330","0","230","0"
"602","59","F","429","2","130","0"
"602","65","M","324","3","206","1"
"602","65","M","234","2","53","1"
"602","14","F","441","3","235","0"
"602","51","F","353","4","116","0"
"602","47","M","401","1","131","0"
"602","26","F","367","1","52","0"
"602","15","F","434","3","93","1"
"602","26","M","410","4","193","1"
"602","64","M","141","1","148","1"
"602","73","M","462","2","210","0"
"602","52","F","175","4","105","1"
"602","26","M","181","4","195","1"
"602","13","M","298","0","234","0"
"603","63","M","294","3","140","0"
"603","20","F","177","3","115","0"
"603","10","F","382","0","142","0"
"603","51","F","432","1","239","1"
"603","69","M","169","2","147","0"
"603","38","M","458","3","100","1"
"603","66","M","105","3","180","1"
"603","74","M","180","3","178","1"
"603","29","M","478","0","159","1"
"603","20","F","164","2","244","1"
"603","18","M","354","2","109","0"
"603","32","M","392","0","138","0"
"604","28","F","473","2","146","0"
"604","69","M","235","1","119","1"
"604","19","M","251","1","173","0"
"604","36","F","216","4","173","1"
"604","14","F","414","3","164","0"
"604","21","F","172","3","87","1"
"604","73","F","383","4","111","1"
"604","33","M","432","1","118","1"
"604","38","F","341","3","93","0"
"604","68","M","319","2","118","1"
"604","50","M","316","3","62","0"
"604","70","M","118","4","113","1"
"604","37","M","298","0","136","0"
"605","78","M","257","3","102","0"
"605","55","M","428","3","131","1"
"605","40","M","131","0","244","1"
"605","35","F","496","4","203","1"
"605","19","F","413","0","182","1"
"605","48","M","277","2","241","0"
"605","40","M","235","2","139","0"
"605","21","M","458","1","84","0"
"605","27","M","346","3","122","0"
"610","18","F","129","2","133","1"
"610","23","F","237","2","240","0"
"610","72","M","304","4","189","0"
"610","61","F","114","1","144","0"
"610","70","F","454","1","202","0"
"610","27","M","383","3","61","1"
"610","15","F","274","3","233","1"
"610","64","F","349","2","219","0"
"610","32","F","257","3","57","1"
"610","26","F","342","4","55","0"
"610","27","M","461","0","216","0"
"610","41","F","215","2","78","1"
"610","45","M","412","0","230","0"
"610","79","M","481","1","129","1"
"611","54","M","156","3","181","0"
"611","58","F","267","1","118","1"
"611","47","F","120","4","126","1"
"611","18","F","205","4","241","0"
"611","51","F","193","3","103","0"
"611","66","F","162","2","227","1"
"611","12","M","470","1","69","1"
"611","69","M","295","2","227","1"
"611","40","F","314","3","213","0"
"611","72","M","398","1","236","1"
"611","41","F","284","4","141","0"
"611","42","M","326","3","240","1"
"611","13","F","113","0","139","0"
"611","30","F","213","4","222","1"
"611","47","F","416","4","81","1"
"611","52","M","389","3","57","0"
"611","46","F","458","1","242","0"
"613","31","F","245","0","193","0"
"613","54","F","267","4","177","1"
"613","59","M","356","3","86","1"
"613","12","F","323","2","205","1"
"613","74","M","468","1","215","0"
"613","79","F","182","2","215","0"
"613","14","M","500","2","86","1"
"613","59","F","472","2","110","0"
"613","56","M","306","2","234","0"
"613","32","M","191","2","70","0"
"613","69","F","222","2","74","0"
"613","72","F","134","3","144","1"
"613","34","M","222","3","137","1"
"613","50","M","234","0","139","0"
"613","27","M","190","1","202","0"
"613","58","F","149","2","94","0"
"613","66","M","337","2","133","1"
"614","30","F","217","3","180","0"
"614","56","M","301","3","235","0"
"614","22","F","162","0","81","1"
"614","34","F","473","3","214","1"
"614","55","M","407","3","77","0"
"614","59","F","182","1","171","1"
"614","78","M","391","1","71","0"
"614","20","F","298","1","77","0"
"614","65","M","143","4","170","1"
"614","26","M","397","3","155","0"
"614","46","M","361","2","96","1"
"615","33","M","217","0","181","0"
"615","64","M","378","1","112","0"
"615","13","M","497","4","231","1"
"615","44","M","401","2","203","1"
"615","16","F","478","4","59","0"
"615","65","M","115","3","53","1"
"617","50","M","312","2","220","0"
"617","42","M","170","0","245","0"
"617","35","F","250","1","78","0"
"617","18","M","215","2","103","1"
"617","57","M","190","1","167","0"
"617","74","M","455","1","90","1"
"617","63","F","273","2","245","1"
"617","62","F","175","3","249","0"
"617","77","F","224","3","54","0"
"617","66","M","344","0","197","0"
"617","15","F","404","3","68","0"
"617","77","F","356","1","128","0"
"617","49","F","104","1","165","1"
"617","18","F","427","1","83","0"
"617","56","M","328","4","202","1"
"617","66","M","134","3","68","1"
"617","26","F","328","2","87","1"
"618","52","F","128","2","205","0"
"618","71","M","174","2","50","1"
"618","20","M","498","4","154","1"
"618","27","M","431","2","158","0"
"618","73","M","374","2","139","1"
"618","56","M","165","4","84","1"
"618","21","F","487","1","223","0"
"618","75","M","239","3","233","0"
"618","22","M","294","3","212","1"
"618","31","F","208","2","54","0"
"618","38","F","404","3","64","1"
"618","54","F","244","3","249","0"
"618","37","F","166","1","154","0"
"618","33","F","144","2","236","0"
"619","17","M","256","3","166","0"
"619","46","F","225","1","215","1"
"619","14","M","269","2","82","0"
"619","49","M","131","4","241","1"
"619","18","M","353","2","230","1"
"619","73","F","470","4","77","0"
"620","43","M","253","2","82","1"
"620","32","F","147","1","241","1"
"620","17","F","186","1","237","0"
"620","71","M","328","4","79","1"
"620","16","M","136","1","61","0"
"620","74","M","471","4","60","1"
"620","34","F","123","1","217","1"
"620","70","F","488","0","158","1"
"620","71","M","177","1","65","1"
"620","77","M","218","2","128","1"
"620","12","F","263","0","66","1"
"620","56","F","276","1","249","0"
"620","64","M","406","1","168","1"
"620","53","M","106","2","204","0"
"620","46","M","373","2","104","0"
"620","15","F","364","3","88","1"
"620","60","F","402","3","211","1"
"620","23","F","136","1","245","0"
"620","20","M","330","1","200","1"
"622","10","F","133","3","222","1"
"622","50","F","132","2","171","0"
"622","14","M","112","4","198","1"
"622","50","F","129","4","95","0"
"622","14","M","306","0","170","1"
"622","14","M","308","3","195","1"
"622","77","M","256","3","192","0"
"622","37","M","151","4","64","0"
"622","53","M","252","2","146","1"
"622","55","M","397","3","72","0"
"622","33","M","119","1","172","1"
"622","16","F","392","4","112","1"
"622","53","M","279","3","156","0"
"622","39","F","280","4","201","0"
"622","77","F","132","1","216","1"
"623","39","F","414","0","199","0"
"623","73","M","307","2","178","1"
"623","33","M","434","4","154","0"
"623","59","F","391","2","149","0"
"623","24","M","386","3","218","0"
"623","42","M","417","3","105","1"
"623","66","M","340","1","226","0"
"623","39","M","310","1","236","0"
"623","35","M","132","0","60","1"
"623","40","M","431","1","94","1"
"623","42","F","408","3","214","1"
"623","58","F","483","1","64","1"
"623","30","F","159","2","172","0"
"624","50","F","329","4","213","0"
"624","63","F","236","2","149","1"
"624","42","F","298","1","92","1"
"624","69","M","450","3","64","1"
"624","27","F","250","3","159","1"
"624","69","M","246","0","91","1"
"624","14","F","499","3","145","1"
"624","69","F","224","3","135","1"
"624","56","F","102","0","208","0"
"624","72","F","103","2","218","1"
"624","59","M","240","4","235","0"
"624","33","F","208","2","157","0"
"624","30","F","421","2","65","1"
"624","47","M","349","1","235","1"
"624","79","F","265","3","233","1"
"624","50","F","102","1","241","1"
"624","13","F","190","1","176","1"
"625","57","F","472","3","139","0"
"625","47","M","226","3","176","1"
"625","27","M","370","3","170","0"
"625","19","F","181","0","146","1"
"625","39","F","189","0","121","1"
"625","76","M","299","2","227","0"
"625","16","M","429","3","135","1"
"626","52","F","255","2","242","1"
"626","63","F","399","4","165","1"
"626","19","F","198","3","144","1"
"626","47","F","482","3","243","1"
"626","60","M","232","0","145","0"
"626","56","F","405","2","226","0"
"626","29","M","454","3","73","1"
"626","68","F","139","1","208","0"
"626","53","M","323","1","209","0"
"627","32","F","167","2","197","1"
"627","18","M","491","2","229","1"
"627","26","F","498","0","91","1"
"627","20","M","485","2","160","1"
"627","11","F","424","1","54","0"
"627","20","F","298","4","131","0"
"627","34","F","166","0","54","0"
"627","49","F","350","4","165","0"
"627","31","M","304","4","132","0"
"627","14","F","249","1","210","1"
"627","66","M","130","0","52","0"
"627","46","F","338","3","145","1"
"627","77","M","130","1","110","0"
"627","78","M","358","2","127","1"
"627","64","F","485","0","222","1"
"627","14","M","212","2","85","1"
"627","40","F","202","3","69","1"
"627","41","F","408","4","236","1"
"627","51","F","231","0","155","1"
"628","60","F","189","3","236","1"
"628","22","M","434","4","158","0"
"628","57","M","187","2","113","0"
"628","71","M","231","2","108","0"
"628","23","F","308","1","237","0"
"628","44","F","222","0","235","1"
"628","52","M","305","0","50","0"
"628","23","F","213","1","94","1"
"628","31","M","120","3","111","0"
"628","59","M","399","2","138","1"
"628","48","M","190","0","52","1"
"628","16","F","240","4","193","0"
"628","45","M","250","2","80","0"
"628","60","F","229","1","109","1"
"628","75","F","148","1","84","0"
"628","37","M","336","1","78","0"
"628","42","M","396","4","203","1"
"629","28","M","489","2","233","0"
"629","74","F","440","4","143","1"
"629","43","M","420","0","135","0"
"629","43","M","149","0","214","0"
"629","13","M","204","3","180","0"
"629","38","M","208","2","200","1"
"629","16","M","400","2","63","0"
"629","77","M","120","4","126","1"
"629","36","M","263","0","151","0"
"629","23","F","429","1","152","1"
"629","69","F","220","0","193","0"
"629","14","M","279","4","183","1"
"629","14","F","131","1","225","0"
"629","30","F","327","4","160","1"
"629","77","F","455","2","101","0"
"629","75","F","201","0","219","1"
"631","36","F","450","0","140","0"
"631","11","M","439","3","148","1"
"631","34","M","188","0","53","0"
"631","46","F","159","4","246","0"
"631","31","F","363","1","178","0"
"631","34","M","286","1","156","0"
"631","25","M","171","4","142","0"
"631","37","F","401","1","163","1"
"631","52","F","200","1","248","0"
"631","63","F","455","4","197","1"
"631","75","M","394","4","203","0"
"633","73","F","331","2","230","0"
"633","42","F","391","2","163","1"
"633","18","F","246","3","166","0"
"633","46","F","241","4","213","0"
"633","64","M","189","0","79","1"
"633","35","M","222","3","88","1"
"633","40","F","487","0","209","0"
"633","37","M","492","2","101","1"
"633","21","M","180","3","207","1"
"633","11","F","389","0","126","0"
"633","30","M","254","2","104","0"
"633","52","F","411","0","107","0"
"633","16","M","335","4","66","1"
"633","44","F","368","3","216","0"
"633","15","F","217","0","137","1"
"633","65","F","500","4","247","1"
"634","28","M","273","3","234","0"
"634","36","F","211","1","229","1"
"634","56","M","304","0","200","1"
"634","11","F","399","1","197","1"
"634","58","M","323","1","195","0"
"634","18","M","145","1","185","0"
"634","11","M","175","3","127","0"
"634","58","F","296","0","166","0"
"634","76","F","133","3","200","0"
"634","67","M","156","3","229","0"
"634","52","M","428","3","156","1"
"634","19","F","200","1","122","1"
"634","74","F","205","3","57","1"
"634","45","F","230","2","161","0"
"634","19","F","296","3","247","0"
"634","66","M","403","3","235","0"
"634","72","F","419","3","63","1"
"635","66","M","113","3","178","0"
"635","58","F","162","4","78","0"
"635","25","F","452","4","91","1"
"635","40","F","460","0","69","0"
"635","61","M","165","1","207","0"
"635","18","M","410","2","111","0"
"635","42","M","175","2","126","1"
"635","69","M","115","2","204","0"
"635","23","F","454","0","175","0"
"635","57","M","432","1","64","0"
"635","41","M","156","2","211","0"
"635","71","M","303","4","203","1"
"636","23","F","447","3","205","0"
"636","54","M","286","3","118","1"
"636","29","F","337","1","188","0"
"636","42","M","321","2","65","0"
"636","50","M","353","0","229","1"
"636","50","F","446","2","176","1"
"636","39","F","118","4","126","1"
"637","78","M","305","3","185","0"
"637","71","M","354","4","191","1"
"637","65","F","217","0","167","0"
"637","70","M","384","2","155","0"
"637","49","F","433","3","113","1"
"637","16","M","403","1","80","1"
"637","25","F","250","2","101","1"
"637","27","F","173","1","124","1"
"637","18","M","351","0","206","1"
"637","33","M","430","2","104","0"
"637","62","F","174","1","87","1"
"637","12","F","359","3","203","1"
"637","53","M","134","3","198","0"
"637","24","M","285","2","159","0"
"637","19","M","174","4","120","0"
"637","70","F","333","4","124","0"
"637","79","F","496","2","51","0"
"637","62","F","326","3","122","0"
"637","67","F","400","4","147","0"
"638","75","F","335","3","173","1"
"638","23","F","427","4","241","1"
"638","66","F","235","1","90","1"
"638","23","M","385","0","155","1"
"638","77","F","450","2","219","0"
"638","76","F","229","2","221","0"
"638","70","M","196","3","228","1"
"638","30","F","186","2","114","0"
"638","11","M","134","2","181","1"
"638","57","M","174","3","58","0"
"638","68","M","359","1","179","0"
"638","47","M","344","2","149","0"
"638","49","M","299","3","77","1"
"638","15","F","240","0","160","1"
"639","78","M","266","0","131","1"
"639","17","M","157","0","184","1"
"639","67","M","333","3","137","0"
"639","72","M","158","1","195","1"
"639","63","F","251","3","215","1"
"639","71","M","138","3","235","1"
"639","79","M","232","3","72","0"
"639","35","F","424","3","133","1"
"639","43","F","125","2","67","1"
"639","34","M","471","1","241","1"
"639","70","M","131","0","112","0"
"639","30","F","386","2","73","0"
"639","27","F","475","0","148","0"
"639","66","F","273","3","80","1"
"640","27","F","490","3","198","0"
"640","79","F","280","3","77","1"
"640","29","M","443","3","220","0"
"640","19","M","155","0","201","1"
"640","56","M","498","2","229","0"
"640","59","M","199","2","122","1"
"640","38","F","230","2","179","1"
"640","60","F","365","4","246","1"
"640","19","M","371","1","200","0"
"640","76","F","302","2","227","0"
"640","70","F","398","2","215","1"
"640","53","M","355","1","178","0"
"640","40","M","439","4","188","1"
"640","56","F","265","0","208","1"
"641","23","F","107","4","205","1"
"641","57","M","104","4","225","0"
"641","51","F","429","2","205","1"
"641","67","M","433","0","117","1"
"641","11","F","305","3","192","1"
"641","23","F","314","1","118","0"
"641","10","M","171","3","66","1"
"641","51","F","359","1","139","1"
"641","59","F","419","4","191","0"
"641","13","M","150","1","171","1"
"641","44","F","473","0","211","0"
"641","36","M","491","1","235","1"
"641","57","F","358","1","236","0"
"641","37","M","121","2","152","1"
"642","36","F","279","0","159","1"
"642","28","F","488","3","138","1"
"642","55","M","327","0","71","1"
"642","17","F","383","3","194","1"
"642","56","M","107","2","66","0"
"642","41","F","400","1","221","0"
"642","24","F","469","2","186","1"
"642","78","M","173","3","238","0"
"642","30","F","421","2","124","0"
"642","47","F","145","1","235","1"
"642","71","F","412","0","70","0"
"644","25","M","462","2","115","1"
"644","28","F","348","4","102","0"
"644","67","M","150","3","225","1"
"644","79","F","380","2","67","1"
"644","10","F","179","0","146","0"
"644","74","M","405","0","78","0"
"645","15","M","374","3","134","1"
"645","18","M","111","4","198","0"
"645","69","F","447","4","186","1"
"645","61","F","381","2","219","1"
"645","39","F","439","4","187","1"
"645","32","M","170","2","212","1"
"645","15","F","477","0","84","0"
"645","46","M","487","0","91","1"
"645","18","F","328","3","230","0"
"645","33","M","287","4","155","0"
"645","42","M","152","1","63","0"
"646","68","F","210","3","104","0"
"646","79","F","471","2","179","0"
"646","63","M","338","4","184","0"
"646","56","M","497","3","193","1"
"646","20","M","329","1","226","0"
"646","70","F","324","3","223","1"
"646","63","F","348","1","68","1"
"649","43","F","488","3","195","0"
